year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2018,NAM,2448255,9851,11102,5931
2006,NCL,235750,,,
2007,NCL,239250,,,
2008,NCL,242750,,,
2009,NCL,245950,,,
2010,NCL,249750,,,
2011,NCL,254350,,,
2012,NCL,259000,,,
2013,NCL,263650,,,
2014,NCL,268050,,,
2015,NCL,272400,,,
2016,NCL,276550,,,
2017,NCL,280350,,,
2018,NCL,284060,,,
2006,NER,14143971,777,714,258
2007,NER,14685399,772,728,292
2008,NER,15250908,815,783,353
2009,NER,15843133,779,754,339
2010,NER,16464025,812,796,347
2011,NER,17114761,799,799,374
2012,NER,17795191,860,876,390
2013,NER,18504255,870,903,414
2014,NER,19240157,900,951,428
2015,NER,20001663,903,965,361
2016,NER,20788838,912,985,362
2017,NER,21602472,921,1013,376
2018,NER,22442948,944,1063,414
2006,NGA,142538308,4259,3909,1656
2007,NGA,146339977,4421,4168,1883
2008,NGA,150269623,4597,4417,2243
2009,NGA,154324933,4836,4682,1891
2010,NGA,158503197,5085,4981,2292
2011,NGA,162805071,5214,5214,2520
2012,NGA,167228767,5291,5392,2747
2013,NGA,171765769,5495,5698,2998
2014,NGA,176404902,5688,6010,3223
2015,NGA,181137448,5686,6072,2730
2016,NGA,185960289,5449,5883,2176
2017,NGA,190873311,5351,5888,1969
2018,NGA,195874740,5316,5991,2028
2006,NIC,5513763,3820,3507,1227
2007,NIC,5590055,3959,3732,1328
2008,NIC,5667432,4039,3882,1499
2009,NIC,5745526,3853,3731,1444
2010,NIC,5824065,3969,3888,1504
2011,NIC,5903039,4163,4163,1656
2012,NIC,5982526,4375,4459,1760
2013,NIC,6062454,4530,4698,1812
2014,NIC,6142733,4685,4950,1934
2015,NIC,6223240,4846,5175,2050
2016,NIC,6303974,5002,5400,2108
2017,NIC,6384855,5169,5687,2168
2018,NIC,6465513,4910,5534,2029
2006,NIU,,,,
2007,NIU,,,,
2008,NIU,,,,
2009,NIU,,,,
2010,NIU,,,,
2012,NIU,,,,
2013,NIU,,,,
2014,NIU,,,,
2015,NIU,,,,
2016,NIU,,,,15586
2017,NIU,1520,,,
2018,NIU,1520,,,
2006,NLD,16346101,45273,40971,44863
2007,NLD,16381696,46879,43897,51733
2008,NLD,16445593,47710,46420,57644
2009,NLD,16530388,45725,44566,52514
2010,NLD,16615394,46102,45040,50950
2011,NLD,16693074,46599,46599,54159
2012,NLD,16754962,45949,47272,50073
2013,NLD,16804432,45754,49242,52184
2014,NLD,16865008,46238,49233,52830
2015,NLD,16939923,46936,50302,45175
2016,NLD,17030314,47710,51339,46008
2017,NLD,17131296,48809,54503,48555
2018,NLD,17231624,49787,56329,53024
2006,NOR,4660677,63792,54104,74148
2007,NOR,4709153,65026,55877,85140
2008,NOR,4768212,64526,61717,96944
2009,NOR,4828726,62617,55376,79978
2010,NOR,4889252,62276,57915,87694
2011,NOR,4953088,62077,62077,100601
2012,NOR,5018573,62923,65355,101524
2013,NOR,5079623,62809,66961,102913
2014,NOR,5137232,63328,65893,97019
2015,NOR,5188607,63935,60385,74356
2016,NOR,5234519,64053,57744,70461
2017,NOR,5276968,65014,62012,75497
2018,NOR,5311916,65389,65511,81697
2006,NPL,26066693,1713,1572,347
2007,NPL,26382581,1750,1649,391
2008,NPL,26666576,1837,1765,470
2009,NPL,26883535,1905,1844,478
2010,NPL,27013212,1987,1946,592
2011,NPL,27041437,2053,2053,699
2012,NPL,26989862,2155,2196,698
2013,NPL,26917906,2250,2333,716
2014,NPL,26906926,2385,2521,743
2015,NPL,27015031,2455,2622,793
2016,NPL,27261131,2447,2642,777
2017,NPL,27627124,2613,2875,911
2018,NPL,28087871,2741,3090,1034
2006,NRU,9828,,,
2007,NRU,9842,4049,3816,2077
2008,NRU,9891,5415,5204,3972
2009,NRU,9939,5856,5670,4457
2010,NRU,10005,6606,6470,4921
2011,NRU,10057,7339,7339,7227
2012,NRU,10279,7905,8057,10102
2013,NRU,10821,10078,10452,10039
2014,NRU,11853,12561,13273,9872
2015,NRU,12475,12270,13104,8013
2016,NRU,13049,12951,13982,7821
2017,NRU,12876,13670,15039,8845
2018,NRU,12704,14645,16504,9889
2006,NZL,4184600,32435,27758,26671
2007,NZL,4223800,33102,29386,32510
2008,NZL,4259800,32491,29861,31288
2009,NZL,4302600,32099,30700,28201
2010,NZL,4350700,32233,31253,33692
2011,NZL,4384000,32735,32735,38427
2012,NZL,4408100,33280,32986,39970
2013,NZL,4442100,33876,36219,42949
2014,NZL,4509700,34608,37261,44534
2015,NZL,4595700,35178,37475,38560
2016,NZL,4693200,35703,39123,40027
2017,NZL,4793900,36046,40439,42260
2018,NZL,4841000,36352,41005,41945
2006,OMN,2580758,42509,39021,14421
2007,OMN,2657158,43125,40650,15838
2008,OMN,2750963,45070,43310,22140
2009,OMN,2876186,45743,44291,16824
2010,OMN,3041434,45336,44409,19281
2011,OMN,3251108,41942,41942,20897
2012,OMN,3498029,42620,43437,21924
2013,OMN,3764805,41331,42863,20927
2014,OMN,4027260,39700,41951,20132
2015,OMN,4267348,39243,41911,16151
2016,OMN,4479219,39249,42376,14722
2017,OMN,4665935,37779,41564,15130
2018,OMN,4829483,37143,41860,16415
2006,PAK,164022627,3999,3670,837
2007,PAK,167808105,4097,3862,908
2008,PAK,171648986,4074,3915,991
2009,PAK,175525609,4097,3967,958
2010,PAK,179424641,4072,3989,987
2011,PAK,183340592,4095,4095,1165
2012,PAK,187281475,4149,4229,1198
2013,PAK,191262919,4241,4398,1209
2014,PAK,195306825,4348,4594,1251
2015,PAK,199426964,4459,4762,1357
2016,PAK,203627284,4609,4976,1368
2017,PAK,207896686,4765,5242,1465
2018,PAK,212215030,4940,5567,1482
2006,PAN,3391666,12736,11691,5349
2007,PAN,3453675,14007,13203,6166
2008,PAN,3516204,15114,14523,7154
2009,PAN,3579215,15032,14555,7576
2010,PAN,3642687,15631,15311,8082
2011,PAN,3706483,17100,17100,9358
2012,PAN,3770624,18453,18807,10722
2013,PAN,3835437,19393,20112,11889
2014,PAN,3901315,20032,21167,12796
2015,PAN,3968487,20822,22237,13630
2016,PAN,4037078,21484,23196,14356
2017,PAN,4106771,22244,24472,15166
2018,PAN,4176873,22674,25554,15575
2006,PER,28102056,8024,7366,3154
2007,PER,28333052,8637,8141,3606
2008,PER,28562317,9349,8984,4221
2009,PER,28792655,9376,9079,4196
2010,PER,29027674,10075,9869,5082
2011,PER,29264318,10626,10626,5869
2012,PER,29506788,11186,11400,6529
2013,PER,29773987,11734,12169,6757
2014,PER,30090359,11887,12561,6673
2015,PER,30470734,12121,12945,6229
2016,PER,30926032,12414,13403,6205
2017,PER,31444297,12517,13771,6711
2018,PER,31989256,12793,14418,6941
2006,PHL,87888675,4937,4532,1391
2007,PHL,89405482,5175,4877,1671
2008,PHL,90901965,5301,5094,1916
2009,PHL,92414158,5274,5106,1822
2010,PHL,93966780,5583,5468,2124
2011,PHL,95570047,5690,5690,2345
2012,PHL,97212638,5967,6082,2573
2013,PHL,98871552,6282,6515,2749
2014,PHL,100513138,6559,6931,2831
2015,PHL,102113212,6848,7313,2867
2016,PHL,103663927,7210,7784,2941
2017,PHL,105173264,7581,8340,2982
2018,PHL,106651922,7943,8951,3103
2006,PLW,19540,13986,12838,9674
2007,PLW,19158,14456,13626,10159
2008,PLW,18704,13980,13434,10587
2009,PLW,18285,13405,12980,10028
2010,PLW,17955,13691,13411,10220
2011,PLW,17745,14527,14527,10884
2012,PLW,17640,14883,15168,11967
2013,PLW,17606,14701,15246,12688
2014,PLW,17626,15326,16195,13795
2015,PLW,17665,16833,17978,15872
2016,PLW,17725,16910,18257,16932
2017,PLW,17808,16239,17866,16078
2018,PLW,17907,16425,18510,15859
2006,PNG,6646895,2700,2478,1257
2007,PNG,6808514,2841,2678,1402
2008,PNG,6976201,2765,2657,1673
2009,PNG,7144776,2883,2792,1626
2010,PNG,7310507,3103,3040,1949
2011,PNG,7472200,3070,3070,2407
2012,PNG,7631002,3146,3206,2791
2013,PNG,7788379,3200,3319,2730
2014,PNG,7946731,3561,3763,2921
2015,PNG,8107775,3821,4081,2679
2016,PNG,8271760,3898,4209,2510
2017,PNG,8438029,3957,4353,2695
2018,PNG,8606316,3848,4336,2730
2006,POL,38141267,18268,15142,9039
2007,POL,38120560,19563,16788,11255
2008,POL,38125759,20392,18310,14001
2009,POL,38151603,20953,19246,11528
2010,POL,38042794,21771,21048,12600
2011,POL,38063255,22851,22851,13894
2012,POL,38063164,23218,23833,13146
2013,POL,38040196,23555,24719,13781
2014,POL,38011735,24355,25612,14348
2015,POL,37986412,25307,26856,12572
2016,POL,37970087,26094,27735,12432
2017,POL,37974826,27379,29922,13857
2018,POL,37974750,28786,31337,15421
2006,PRI,3805214,35025,32150,22936
2007,PRI,3782995,34821,32822,23665
2008,PRI,3760866,34380,33037,24898
2009,PRI,3740410,33893,32817,25769
2010,PRI,3721525,33924,33230,26436
2011,PRI,3678732,34196,34196,27279
2012,PRI,3634488,34622,35286,27945
2013,PRI,3593077,34914,36208,28513
2014,PRI,3534874,35066,37054,28981
2015,PRI,3473166,35315,37715,29764
2016,PRI,3406495,35551,38383,30629
2017,PRI,3325001,35454,39006,31353
2018,PRI,3195153,35085,39541,31651
2006,PRK,24054864,,,
2007,PRK,24188331,,,
2008,PRK,24310142,,,
2009,PRK,24428341,,,
2010,PRK,24548836,,,
2011,PRK,24673385,,,
2012,PRK,24800612,,,
2013,PRK,24929452,,,
2014,PRK,25057752,,,
2015,PRK,25183833,,,
2016,PRK,25307744,,,
2017,PRK,25429985,,,
2018,PRK,25549819,,,
2006,PRT,10522288,26958,24657,19823
2007,PRT,10542964,27579,25708,22782
2008,PRT,10558177,27627,26666,24848
2009,PRT,10568247,26739,26464,23060
2010,PRT,10573100,27191,27260,22499
2011,PRT,10557560,26770,26770,23187
2012,PRT,10514844,25788,26438,20565
2013,PRT,10457295,25690,27936,21647
2014,PRT,10401062,26034,28742,22074
2015,PRT,10358076,26610,29669,19242
2016,PRT,10325452,27234,31044,19978
2017,PRT,10300300,28257,32777,21437
2018,PRT,10283822,28999,33415,23408
2006,PRY,5913209,8280,7601,2271
2007,PRY,5998427,8605,8111,2977
2008,PRY,6081296,9028,8675,4042
2009,PRY,6163972,8884,8602,3625
2010,PRY,6248020,9741,9541,4356
2011,PRY,6333976,10017,10017,5323
2012,PRY,6421512,9827,10015,5183
2013,PRY,6510276,10509,10898,5927
2014,PRY,6599526,10871,11487,6103
2015,PRY,6688746,11056,11808,5407
2016,PRY,6777872,11381,12288,5319
2017,PRY,6867062,11790,12972,5681
2018,PRY,6956071,12068,13600,5822
2006,PSE,3406334,3364,3088,1441
2007,PSE,3494496,3495,3294,1576
2008,PSE,3591977,3607,3466,1858
2009,PSE,3689099,3816,3695,1970
2010,PSE,3786161,4019,3937,2354
2011,PSE,3882986,4406,4406,2695
2012,PSE,3979998,4569,4656,2834
2013,PSE,4076708,4559,4728,3060
2014,PSE,4173398,4445,4697,3047
2015,PSE,4270092,4494,4799,2968
2016,PSE,4367088,4601,4967,3074
2017,PSE,4454805,4652,5118,3254
2018,PSE,4569087,4576,5158,3199
2006,PYF,261010,,,
2007,PYF,262721,,,
2008,PYF,264061,,,
2009,PYF,265254,,,
2010,PYF,266455,,,
2011,PYF,267698,,,
2012,PYF,268998,,,
2013,PYF,270328,,,
2014,PYF,271705,,,
2015,PYF,273124,,,
2016,PYF,274575,,,
2017,PYF,276103,,,
2018,PYF,277679,,,
2006,QAT,1022711,117156,107541,59530
2007,QAT,1218434,116023,109363,65422
2008,QAT,1436665,115779,111256,80234
2009,QAT,1654950,112526,108954,59094
2010,QAT,1856327,119974,117519,67403
2011,QAT,2035871,124025,124025,82410
2012,QAT,2196074,120366,122675,85076
2013,QAT,2336574,118118,122496,85051
2014,QAT,2459198,116694,123308,83859
2015,QAT,2565710,115940,123822,63039
2016,QAT,2654374,114456,123574,57163
2017,QAT,2724724,113262,124609,61264
2018,QAT,2781677,112600,126898,68794
2006,ROU,21193760,15681,11545,5757
2007,ROU,20882982,17065,13687,8360
2008,ROU,20537875,18967,16782,10435
2009,ROU,20367487,18071,16635,8548
2010,ROU,20246871,17469,16966,8210
2011,ROU,20147528,17908,17908,9105
2012,ROU,20058035,18361,18932,8535
2013,ROU,19983693,19077,19797,9555
2014,ROU,19908979,19802,20623,10027
2015,ROU,19815616,20666,21632,8977
2016,ROU,19702468,21782,23868,9567
2017,ROU,19587491,23468,26632,10808
2018,ROU,19466145,24538,28206,12301
2006,RUS,143049528,21181,14912,6920
2007,RUS,142805088,23020,16648,9101
2008,RUS,142742350,24228,20164,11635
2009,RUS,142785342,22332,19390,8563
2010,RUS,142849449,23326,20490,10675
2011,RUS,142960868,24310,24310,14351
2012,RUS,143201676,25167,25785,15435
2013,RUS,143506911,25566,26240,16007
2014,RUS,143819666,25289,25752,14101
2015,RUS,144096870,24652,24061,9314
2016,RUS,144342396,24688,24072,8745
2017,RUS,144496740,25062,25767,10751
2018,RUS,144478050,25629,27588,11289
2006,RWA,9043337,1149,1054,353
2007,RWA,9273757,1206,1136,418
2008,RWA,9524534,1305,1254,517
2009,RWA,9782770,1350,1307,557
2010,RWA,10039338,1412,1383,583
2011,RWA,10293331,1487,1487,646
2012,RWA,10549678,1576,1606,704
2013,RWA,10811543,1610,1670,705
2014,RWA,11083635,1668,1762,723
2015,RWA,11369071,1770,1890,728
2016,RWA,11668818,1828,1973,726
2017,RWA,11980937,1889,2078,763
2018,RWA,12301939,1998,2252,773
2006,SAU,24498310,45676,41928,15385
2007,SAU,25184597,45252,42654,16517
2008,SAU,25888541,46773,44945,20078
2009,SAU,26630303,44534,43120,16113
2010,SAU,27421461,45428,44499,19263
2011,SAU,28267685,48474,48474,23746
2012,SAU,29155187,49541,50492,25243
2013,SAU,30052518,49359,51189,24845
2014,SAU,30916994,49732,52551,24464
2015,SAU,31717667,50467,53898,20628
2016,SAU,32442572,50164,54160,19879
2017,SAU,33099147,48804,53693,20804
2018,SAU,33699947,49101,55336,23339
2006,SDN,31661823,2945,2703,905
2007,SDN,32360621,3194,3011,1128
2008,SDN,33060837,3351,3220,1305
2009,SDN,33783788,3369,3262,1238
2010,SDN,34545013,3397,3327,1490
2011,SDN,35349681,3643,3643,1672
2012,SDN,36193783,4074,4152,1882
2013,SDN,37072550,4152,4306,1944
2014,SDN,37977655,4162,4398,2163
2015,SDN,38902950,4262,4552,2487
2016,SDN,39847440,4357,4704,2398
2017,SDN,40813396,4436,4880,3015
2018,SDN,41801533,4230,4768,977
2006,SEN,11382268,2678,2458,1041
2007,SEN,11687080,2737,2580,1222
2008,SEN,12004701,2773,2664,1412
2009,SEN,12335084,2755,2667,1317
2010,SEN,12678148,2776,2719,1279
2011,SEN,13033809,2739,2739,1372
2012,SEN,13401991,2800,2854,1330
2013,SEN,13782420,2800,2904,1376
2014,SEN,14174731,2903,3067,1395
2015,SEN,14578459,3002,3206,1219
2016,SEN,14993528,3104,3352,1269
2017,SEN,15419381,3232,3556,1367
2018,SEN,15854360,3356,3783,1522
2006,SGP,4401365,66176,60745,33769
2007,SGP,4588599,69203,65230,39433
2008,SGP,4839396,66842,64231,40007
2009,SGP,4987573,64935,62873,38927
2010,SGP,5076732,73061,71566,47237
2011,SGP,5183688,76034,76034,53890
2012,SGP,5312437,77493,78979,55546
2013,SGP,5399162,79919,82881,56967
2014,SGP,5469724,81965,86612,57563
2015,SGP,5535002,83342,89007,55647
2016,SGP,5607283,84704,91452,56724
2017,SGP,5612253,87760,96553,60298
2018,SGP,5638676,90091,101532,64582
2006,SLB,481078,1755,1611,949
2007,SLB,492132,1842,1736,1049
2008,SLB,503360,1928,1853,1208
2009,SLB,515181,1795,1738,1160
2010,SLB,527861,1871,1833,1290
2011,SLB,541521,2065,2065,1722
2012,SLB,556064,2102,2143,1913
2013,SLB,571335,2108,2186,1977
2014,SLB,587079,2097,2216,1997
2015,SLB,603118,2094,2236,1914
2016,SLB,619437,2104,2272,1986
2017,SLB,636038,2125,2338,2059
2018,SLB,652858,2150,2423,2138
2006,SLE,5829237,1074,986,323
2007,SLE,5989633,1129,1065,360
2008,SLE,6133603,1162,1117,408
2009,SLE,6272734,1173,1136,391
2010,SLE,6415634,1208,1183,402
2011,SLE,6563240,1255,1255,448
2012,SLE,6712581,1414,1441,566
2013,SLE,6863980,1669,1731,717
2014,SLE,7017144,1707,1804,715
2015,SLE,7171914,1326,1416,588
2016,SLE,7328838,1376,1486,501
2017,SLE,7488431,1404,1544,499
2018,SLE,7650154,1421,1602,534
2006,SLV,6079399,6117,5615,2632
2007,SLV,6105810,6203,5847,2786
2008,SLV,6131764,6336,6088,2933
2009,SLV,6157686,6178,5982,2858
2010,SLV,6183875,6281,6152,2983
2011,SLV,6210568,6493,6493,3266
2012,SLV,6237923,6646,6774,3428
2013,SLV,6266070,6764,7015,3510
2014,SLV,6295128,6848,7236,3589
2015,SLV,6325124,6979,7453,3706
2016,SLV,6356143,7119,7686,3800
2017,SLV,6388122,7247,7973,3902
2018,SLV,6420744,7393,8332,4058
2006,SMR,29700,85479,78464,70457
2007,SMR,30063,90468,85274,82772
2008,SMR,30434,90840,87290,90435
2009,SMR,30816,78208,75725,76686
2010,SMR,31229,73581,72075,68496
2011,SMR,31661,65726,65726,64890
2012,SMR,32105,59924,61073,56068
2013,SMR,32553,57307,59431,57303
2014,SMR,32948,56110,59291,54283
2015,SMR,33272,55897,59697,45775
2016,SMR,33504,56731,61251,46692
2017,SMR,33671,57297,63037,48495
2018,SMR,33785,,,
2006,SOM,10763905,,,
2007,SOM,11080121,,,
2008,SOM,11397188,,,
2009,SOM,11717692,,,
2010,SOM,12043883,,,
2011,SOM,12376302,,,
2012,SOM,12715510,,,
2013,SOM,13063706,,,298
2014,SOM,13423576,,,295
2015,SOM,13797201,,,293
2016,SOM,14185613,,,296
2017,SOM,14589119,,,309
2018,SOM,15008154,,,315
2006,SRB,7411569,11934,10199,4383
2007,SRB,7381579,12754,11225,5848
2008,SRB,7350222,13533,12632,7101
2009,SRB,7320807,13216,12537,6169
2010,SRB,7291436,13367,12797,5735
2011,SRB,7234099,13747,13747,6809
2012,SRB,7199077,13720,13934,6016
2013,SRB,7164132,14185,14629,6755
2014,SRB,7130576,14026,14660,6600
2015,SRB,7095383,14346,14922,5585
2016,SRB,7058322,14903,15615,5756
2017,SRB,7020858,15289,16433,6284
2018,SRB,6982604,16049,17435,7247
2006,SSD,7907406,,,
2007,SSD,8315139,,,
2008,SSD,8736939,3295,3167,1669
2009,SSD,9142259,3308,3203,1338
2010,SSD,9508364,3356,3287,1536
2011,SSD,9830698,3095,3095,1516
2012,SSD,10113647,1622,1653,1180
2013,SSD,10355036,1792,1859,1779
2014,SSD,10554883,1818,1921,1323
2015,SSD,10715658,1597,,1120
2016,SSD,10832512,,,
2017,SSD,10910759,,,
2018,SSD,10975920,,,
2006,STP,161681,2340,2148,883
2007,STP,166300,2349,2214,897
2008,STP,171120,2469,2373,1099
2009,STP,175876,2461,2383,1068
2010,STP,180371,2560,2507,1095
2011,STP,184524,2612,2612,1264
2012,STP,188404,2639,2689,1341
2013,STP,192087,2713,2813,1577
2014,STP,195727,2837,2997,1783
2015,STP,199432,2890,3086,1596
2016,STP,203227,2954,3189,1710
2017,STP,207089,3011,3313,1811
2018,STP,211028,3033,3419,2001
2006,SUR,505295,12477,11453,5198
2007,SUR,511181,12964,12220,5745
2008,SUR,517123,13346,12824,6832
2009,SUR,523111,13591,13159,7408
2010,SUR,529131,14131,13841,8256
2011,SUR,535179,14788,14788,8263
2012,SUR,541245,15016,15304,9201
2013,SUR,547291,15285,15852,9402
2014,SUR,553273,15159,16018,9472
2015,SUR,559143,14488,15473,8562
2016,SUR,564888,13543,14622,5605
2017,SUR,570496,13636,15002,5379
2018,SUR,575991,13763,15510,6234
2006,SVK,5373054,21755,18894,13160
2007,SVK,5374622,24104,21202,16086
2008,SVK,5379233,25426,23726,18677
2009,SVK,5386406,24007,23085,16532
2010,SVK,5391428,25357,25153,16727
2011,SVK,5398384,26050,26050,18338
2012,SVK,5407579,26499,26933,17460
2013,SVK,5413393,26648,27967,18237
2014,SVK,5418649,27355,28992,18671
2015,SVK,5423801,28646,29924,16309
2016,SVK,5430798,29217,30825,16506
2017,SVK,5439232,30059,32244,17510
2018,SVK,5446771,31226,33736,19443
2006,SVN,2006868,28280,25694,19673
2007,SVN,2018122,30086,27543,23788
2008,SVN,2021316,31092,29604,27483
2009,SVN,2039669,28487,27543,24694
2010,SVN,2048583,28744,27825,23510
2011,SVN,2052843,28931,28931,25095
2012,SVN,2057159,28109,29043,22643
2013,SVN,2059953,27782,29974,23497
2014,SVN,2061980,28523,30870,24215
2015,SVN,2063531,29131,31637,20882
2016,SVN,2065042,30018,33192,21623
2017,SVN,2066388,31449,36143,23443
2018,SVN,2073894,32728,38049,26124
2006,SWE,9080505,42830,37435,46278
2007,SWE,9148092,43972,40593,53341
2008,SWE,9219637,43525,41972,55904
2009,SWE,9298515,41328,40156,46794
2010,SWE,9378126,43513,42179,52817
2011,SWE,9449213,44504,44504,60613
2012,SWE,9519374,43897,45304,57874
2013,SWE,9600379,44000,46138,60897
2014,SWE,9696110,44762,47046,59844
2015,SWE,9799186,46250,48975,51397
2016,SWE,9923085,46774,49423,51974
2017,SWE,10057698,47261,51879,53744
2018,SWE,10175214,47718,53209,54608
2006,SWZ,1036092,7631,7005,3177
2007,SWZ,1042652,7920,7465,3327
2008,SWZ,1049945,7929,7620,3137
2009,SWZ,1057467,7996,7742,3386
2010,SWZ,1064837,8242,8074,4169
2011,SWZ,1072032,8371,8371,4497
2012,SWZ,1079288,8763,8931,4528
2013,SWZ,1086839,9038,9373,4230
2014,SWZ,1095021,9052,9566,4039
2015,SWZ,1104044,9186,9811,3690
2016,SWZ,1113984,9220,9954,3448
2017,SWZ,1124753,9316,10250,3953
2018,SWZ,1136191,9439,10638,4146
2006,SXM,33441,,,
2007,SXM,33811,,,
2008,SXM,33964,,,
2009,SXM,34238,32875,31832,
2010,SXM,34056,34109,33411,
2011,SXM,33435,36340,36340,
2012,SXM,34640,35564,36246,
2013,SXM,36607,34093,35356,
2014,SXM,37685,33641,35548,
2015,SXM,38825,32819,35050,
2016,SXM,39969,32018,34568,
2017,SXM,40574,28883,31776,
2018,SXM,40654,,,
2006,SYC,84600,19086,17520,12014
2007,SYC,85033,20968,19765,12155
2008,SYC,86956,20064,19280,11123
2009,SYC,87298,19765,19137,9707
2010,SYC,89770,20365,19948,10805
2011,SYC,87441,22557,22557,12189
2012,SYC,88303,22618,23052,12007
2013,SYC,89949,23540,24413,14766
2014,SYC,91359,24221,25594,14700
2015,SYC,93419,24857,26546,14745
2016,SYC,94677,25631,27673,15078
2017,SYC,95843,26416,29062,15684
2018,SYC,96762,27114,30557,16434
2006,SYR,19059258,,,1749
2007,SYR,19878254,,,2033
2008,SYR,20664038,,,
2009,SYR,21205873,,,
2010,SYR,21362529,,,
2011,SYR,21082966,,,
2012,SYR,20442541,,,
2013,SYR,19584274,,,
2014,SYR,18715672,,,
2015,SYR,17997408,,,
2016,SYR,17453933,,,
2017,SYR,17068002,,,
2018,SYR,16906283,,,
2006,TCA,29391,,,24562
2007,TCA,30385,,,25456
2008,TCA,31202,,,27648
2009,TCA,31934,,,22020
2010,TCA,32660,,,21028
2011,TCA,33377,19846,19846,21835
2012,TCA,34066,18952,19316,21010
2013,TCA,34731,18843,19542,21329
2014,TCA,35369,19744,20863,23296
2015,TCA,35981,20561,21959,24833
2016,TCA,36559,21126,22809,25995
2017,TCA,37115,21699,23873,25934
2018,TCA,37665,22512,25371,27142
2006,TCD,10457124,1738,1595,710
2007,TCD,10818024,1735,1635,799
2008,TCD,11183588,1729,1662,926
2009,TCD,11560147,1743,1688,800
2010,TCD,11952136,1915,1876,892
2011,TCD,12360989,1853,1853,983
2012,TCD,12784750,1951,1988,967
2013,TCD,13220424,1994,2068,980
2014,TCD,13663559,2062,2179,1019
2015,TCD,14110975,2052,2192,776
2016,TCD,14561666,1864,2013,693
2017,TCD,15016773,1754,1929,664
2018,TCD,15477751,1746,1968,728
2006,TGO,5762880,1161,1066,408
2007,TGO,5920359,1156,1090,449
2008,TGO,6083420,1171,1125,544
2009,TGO,6250835,1203,1164,538
2010,TGO,6421679,1242,1217,534
2011,TGO,6595943,1286,1286,586
2012,TGO,6773807,1335,1360,572
2013,TGO,6954721,1379,1431,621
2014,TGO,7137997,1424,1504,640
2015,TGO,7323158,1467,1567,571
2016,TGO,7509952,1510,1631,597
2017,TGO,7698475,1538,1692,625
2018,TGO,7889094,1574,1774,679
2006,THA,65812536,12027,11040,3370
2007,THA,66182067,12610,11886,3973
2008,THA,66530984,12760,12261,4380
2009,THA,66866839,12608,12208,4213
2010,THA,67195028,13489,13213,5076
2011,THA,67518382,13537,13537,5492
2012,THA,67835957,14450,14727,5861
2013,THA,68144501,14771,15319,6168
2014,THA,68438730,14852,15694,5952
2015,THA,68714511,15256,16294,5840
2016,THA,68971331,15710,16961,5979
2017,THA,69209858,16286,17917,6578
2018,THA,69428524,16905,19051,7274
2006,TJK,6922587,1807,1658,409
2007,TJK,7062672,1908,1799,527
2008,TJK,7209930,2017,1938,716
2009,TJK,7364753,2052,1987,676
2010,TJK,7527394,2138,2095,750
2011,TJK,7697510,2246,2246,847
2012,TJK,7874835,2360,2405,969
2013,TJK,8059769,2476,2568,1048
2014,TJK,8252833,2580,2727,1104
2015,TJK,8454028,2670,2852,929
2016,TJK,8663579,2785,3007,803
2017,TJK,8880268,2924,3217,806
2018,TJK,9100837,3061,3450,827
2006,TKL,,,,
2007,TKL,,,,
2008,TKL,,,,
2009,TKL,,,,
2010,TKL,,,,
2012,TKL,,,,
2013,TKL,,,,
2014,TKL,,,,
2015,TKL,,,,
2016,TKL,1400,,,7069
2017,TKL,1400,,,
2018,TKL,1400,,,
2006,TKM,4810109,7125,6540,2136
2007,TKM,4870141,7815,7366,2600
2008,TKM,4935767,8845,8499,3904
2009,TKM,5007954,9249,8955,4036
2010,TKM,5087213,9942,9739,4439
2011,TKM,5174085,11212,11212,5650
2012,TKM,5267900,12235,12470,6675
2013,TKM,5366375,13236,13726,7304
2014,TKM,5466328,14332,15145,7962
2015,TKM,5565287,14992,16012,6433
2016,TKM,5662372,15649,16895,6390
2017,TKM,5757669,16390,18032,6587
2018,TKM,5850908,17129,19304,6967
2006,TLS,1016432,9017,8277,2615
2007,TLS,1036392,9309,8775,2780
2008,TLS,1055431,10048,9656,4161
2009,TLS,1074277,9276,8981,2978
2010,TLS,1093523,9005,8821,3657
2011,TLS,1113151,9860,9860,5095
2012,TLS,1132994,10174,10369,5880
2013,TLS,1153295,8887,9216,4888
2014,TLS,1174331,6467,6833,3442
2015,TLS,1196302,7657,8178,2585
2016,TLS,1219288,7566,8169,2053
2017,TLS,1243261,6741,7416,2001
2018,TLS,1267972,6796,7658,2036
2006,TON,101706,4875,4475,2892
2007,TON,102581,4632,4366,2926
2008,TON,103379,4738,4553,3381
2009,TON,103890,4823,4670,3063
2010,TON,103986,4991,4889,3553
2011,TON,103562,5151,5151,4085
2012,TON,102737,5239,5340,4598
2013,TON,101768,5124,5314,4429
2014,TON,101028,5268,5567,4394
2015,TON,100781,5477,5850,4321
2016,TON,101133,5643,6092,3966
2017,TON,101998,5746,6322,4217
2018,TON,103197,5696,6420,4364
2006,TTO,1302561,29791,27346,14102
2007,TTO,1308451,31067,29283,16540
2008,TTO,1314443,31974,30725,21204
2009,TTO,1320930,30420,29454,14514
2010,TTO,1328147,31260,30620,16683
2011,TTO,1336178,30980,30980,19034
2012,TTO,1344817,31172,31770,19157
2013,TTO,1353700,31658,32831,20144
